Functional Group,SMARTS Pattern
Thioacetal,"[SX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(S)(S)[!#6])][SX2][#6;!$(C=[O,S,N])]"
Thiohemiacetal,"[SX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(S)(S)[!#6])][OX2H]"
Halogenmethylen ester and similar,"[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1]"
Cyanhydrine,"[NX1]#[CX2][CX4;$([CH2]),$([CH]([CX2])[#6]),$(C([CX2])([#6])[#6])][OX2H]"
Chloroalkene,[ClX1][CX3]=[CX3]
Fluoroalkene,[FX1][CX3]=[CX3]
Bromoalkene,[BrX1][CX3]=[CX3]
Iodoalkene,[IX1][CX3]=[CX3]
Enol,"[OX2H][CX3;$([H1]),$(C[#6])]=[CX3]"
Endiol,"[OX2H][CX3;$([H1]),$(C[#6])]=[CX3;$([H1]),$(C[#6])][OX2H]"
Enolether,"[OX2]([#6;!$(C=[N,O,S])])[CX3;$([H0][#6]),$([H1])]=[CX3]"
Enolester,"[OX2]([CX3]=[OX1])[#6X3;$([#6][#6]),$([H1])]=[#6X3;!$(C[OX2H])]"
Enamine,"[NX3;$([NH2][CX3]),$([NH1]([CX3])[#6]),$([N]([CX3])([#6])[#6]);!$([N]*=[#7,#8,#15,#16])][CX3;$([CH]),$([C][#6])]=[CX3]"
Thioenol,"[SX2H][CX3;$([H1]),$(C[#6])]=[CX3]"
Thioenolether,"[SX2]([#6;!$(C=[N,O,S])])[CX3;$(C[#6]),$([CH])]=[CX3]"
Acylchloride,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[ClX1]"
Acylfluoride,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[FX1]"
Acylbromide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[BrX1]"
Acyliodide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[IX1]"
Carboxylic acid,"[CX3](=[OX1])[$([OX2H]),$([OX1-])]"
Carboxylic ester,"[CX3](=[OX1])[OX2H0]"
Lactone,"[#6X3R](=[OX1])[#8X2;$([*][#6])]"
Carboxylic anhydride,"[CX3;$([H0][#6]),$([H1])](=[OX1])[#8X2][CX3;$([H0][#6]),$([H1])](=[OX1])"
Carbothioic acid,"[CX3;!R;$([C][#6]),$([CH]);$([C](=[OX1])[$([SX2H]),$([SX1-])]),$([C](=[SX1])[$([OX2H]),$([OX1-])])]"
Carbothioic S ester,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[SX2H0]"
Carbothioic S lactone,"[#6][#6X3R](=[OX1])[#16X2H0]"
Carbothioic O ester,"[CX3;$([H0][#6]),$([H1])](=[SX1])[OX2H0]"
Carbothioic O lactone,"[#6][#6X3R](=[SX1])[#8X2H0]"
Carbothioic halide,"[CX3;$([H0][#6]),$([H1])](=[SX1])[FX1,ClX1,BrX1,IX1]"
Carbodithioic acid,"[CX3;!R;$([C][#6]),$([CH]);$([C](=[SX1])[SX2H])]"
Carbodithioic ester,"[CX3;!R;$([C][#6]),$([CH]);$([C](=[SX1])[SX2H0])]"
Carbodithiolactone,"[#6][#6X3R](=[SX1])[#16X2H0]"
Amide,[CX3](=[OX1])[NX3]
#Primary amide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[NX3H2]"
#Secondary amide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H1;$([#7][#6])]"
#Tertiary amide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H0;$([#7]([#6])[#6])]"
Lactam,"[#6X3R](=[OX1])[#7X3;$([H1]),$([H0])]"
Imide,"[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H0][#6X3;$([H0][#6]),$([H1])](=[OX1])"
#N hetero imide,"[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H0]([!#6])[#6X3;$([H0][#6]),$([H1])](=[OX1])"
#Imide acidic,"[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H1][#6X3;$([H0][#6]),$([H1])](=[OX1])"
Thioamide,[CX3](=[SX1])[NX3]
Thiolactam,"[#6X3R](=[SX1])[#7X3;$([H1]),$([H0])]"
Oxim-ester,"[#6X3;$([H0][#6]),$([H1])](=[OX1])[#8X2][#7X2]=,:[#6X3;$([H0]([#6])[#6]),$([H1][#6]),$([H2])]"
Amidine,"[#7X3v3;!$(N([#6X3]=[#7X2])C=[O,S])][CX3]=[NX2v3;!$(N(=[#6X3][#7X3])C=[O,S])]"
Hydroxamic acid,"[CX3;$([H0][#6]),$([H1])](=[OX1])[#7X3;$([H1]),$([H0][#6;!$(C=[O,N,S])])][$([OX2H]),$([OX1-])]"
Hydroxamic acid ester,"[CX3;$([H0][#6]),$([H1])](=[OX1])[#7X3;$([H1]),$([H0][#6;!$(C=[O,N,S])])][OX2H0]"
Amidrazone,"[$([$([#6X3][#6]),$([#6X3H])](=[#7X2v3])[#7X3v3][#7X3v3]),$([$([#6X3][#6]),$([#6X3H])]([#7X3v3])=[#7X2v3][#7X3v3])]"
Ortho ester,"[#6][OX2][CX4;$(C[#6]),$([CH])]([OX2][#6])[OX2][#6]"
Ketene,[CX3]=[CX2]=[OX1]
Ketenacetal,"[#7X2,#8X3,#16X2;$(*[#6,#14])][#6X3]([#7X2,#8X3,#16X2;$(*[#6,#14])])=[#6X3]"
Nitrile,[NX1]#[CX2]
Isonitrile,[CX1-]#[NX2+]
Carbonic acid diester,[#8X2H0][#6X3](=[OX1])[#8X2H0]
Carbonic acid esterhalide,"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[OX1])[OX2][FX1,ClX1,BrX1,IX1]"
Carbonic acid monoester,"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[OX1])[$([OX2H]),$([OX1-])]"
Thiocarbonic acid diester,[#8X2H0][#6X3](=[SX1])[#8X2H0]
Thiocarbonic acid esterhalide,"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[SX1])[OX2][FX1,ClX1,BrX1,IX1]"
Thiocarbonic acid monoester,"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[SX1])[$([OX2H]),$([OX1-])]"
Urea,[#7X3][#6X3](=[OX1])[#7X3]
Thiourea,[#7X3;!$([#7][!#6])][#6X3](=[SX1])[#7X3;!$([#7][!#6])]
Isourea,"[#7X2;!$([#7][!#6])]=,:[#6X3]([#8X2&!$([#8][!#6]),OX1-])[#7X3;!$([#7][!#6])]"
Isothiourea,"[#7X2;!$([#7][!#6])]=,:[#6X3]([#16X2&!$([#16][!#6]),SX1-])[#7X3;!$([#7][!#6])]"
Guanidine,"[N;v3X3,v4X4+][CX3](=[N;v3X2,v4X3+])[N;v3X3,v4X4+]"
Carbamic acid,"[NX3]C(=[OX1])[O;X2H,X1-]"
Urethane,[#7X3][#6](=[OX1])[#8X2H0]
Biuret,[#7X3][#6](=[OX1])[#7X3][#6](=[OX1])[#7X3]
Semicarbazide,[#7X3][#7X3][#6X3]([#7X3;!$([#7][#7])])=[OX1]
Carbazide,[#7X3][#7X3][#6X3]([#7X3][#7X3])=[OX1]
Semicarbazone,[#7X2](=[#6])[#7X3][#6X3]([#7X3;!$([#7][#7])])=[OX1]
Carbazone,[#7X2](=[#6])[#7X3][#6X3]([#7X3][#7X3])=[OX1]
Thiosemicarbazide,[#7X3][#7X3][#6X3]([#7X3;!$([#7][#7])])=[SX1]
Thiocarbazide,[#7X3][#7X3][#6X3]([#7X3][#7X3])=[SX1]
Thiosemicarbazone,[#7X2](=[#6])[#7X3][#6X3]([#7X3;!$([#7][#7])])=[SX1]
Thiocarbazone,[#7X2](=[#6])[#7X3][#6X3]([#7X3][#7X3])=[SX1]
Isocyanate,[NX2]=[CX2]=[OX1]
Cyanate,[OX2][CX2]#[NX1]
Isothiocyanate,[NX2]=[CX2]=[SX1]
Thiocyanate,[SX2][CX2]#[NX1]
Carbodiimide,[NX2]=[CX2]=[NX2]
Orthocarbonic derivatives,"[CX4H0]([O,S,#7])([O,S,#7])([O,S,#7])[O,S,#7,F,Cl,Br,I]"
Phenol,[OX2H;$([O][c])]
Arylchloride,[Cl;$([*][c])]
Arylfluoride,[F;$([*][c])]
Arylbromide,[Br;$([*][c])]
Aryliodide,[I;$([*][c])]
Arylthiol,[SX2H;$([*][c])]
Iminoarene,"[c]=[NX2]"
Oxoarene,[c]=[OX1]
Thioarene,[c]=[SX1]
Hetero N basic H,[nX3H1+0]
Hetero N basic no H,[nX3H0+0]
Hetero N nonbasic,"[nX2,nX3+]"
Hetero O,[o]
Hetero S,[sX2]
Nitrite,"[NX2](=[OX1])[O;$([X2]),$([X1-])]"
Thionitrite,[SX2][NX2]=[OX1]
Nitrate,"[$([NX3](=[OX1])(=[OX1])[O;$([X2]),$([X1-])]),$([NX3+]([OX1-])(=[OX1])[O;$([X2]),$([X1-])])]"
Nitro,"[$([NX3](=O)=O),$([NX3+](=O)[O-])](=[O])=,-[O]"
Nitroso,[NX2](=[OX1])
Azide,"[NX1]~[NX2]~[NX2,NX1]"
Acylazide,[CX3](=[OX1])[NX2]~[NX2]~[NX1]
Azo,[NX2]=[NX2]
Diazo,"[$([#6]=[NX2+]=[NX1-]),$([#6-]-[NX2+]#[NX1])]"
Diazonium,[NX2+]#[NX1]
Nitrosamine,[#7;!$(N*=O)][NX2]=[OX1]
Nitrosamide,[NX2](=[OX1])N-*=O
N-Oxide,[#7+][OX1-]
Azine,C=NN=C
Hydrazine,"[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])]"
Hydrazinecarboxylate,"[OX2][CX3](=[OX1])[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])]"
Hydrazone,"[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][NX2]=[#6]"
Acylhydrazone,"[CX3](=[OX1])[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][NX2]=[#6]"
Hydroxylamine,"[NX3][OX2;$([H1])]"
Sulfon,"[$([SX4](=[OX1])(=[OX1])([#6])[#6]),$([SX4+2]([OX1-])([OX1-])([#6])[#6])]"
Sulfoxide,"[$([SX3](=[OX1])([#6])[#6]),$([SX3+]([OX1-])([#6])[#6])]"
Sulfonium,"[S+;!$([S]~[!#6]);!$([S]*~[#7,#8,#15,#16])]"
Sulfuric acid,"[SX4](=[OX1])(=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]"
Sulfuric monoester,"[SX4](=[OX1])(=[OX1])([$([OX2H]),$([OX1-])])[OX2H0]"
Sulfuric diester,"[SX4](=[OX1])(=[OX1])([OX2H0])[OX2H0]"
Sulfuric monoamide,"[SX4](=[OX1])(=[OX1])([#7X3])[$([OX2H]),$([OX1-])]"
Sulfuric diamide,"[SX4](=[OX1])(=[OX1])([#7X3])[#7X3]"
Sulfuric esteramide,"[SX4](=[OX1])(=[OX1])([#7X3][#6;!$(C=[O,N,S])])[OX2H0]"
Sulfuric derivative,[SX4D4](=[!#6])(=[!#6])([!#6])[!#6]
Sulfonyl,"[SX4](=[OX1])(=[OX1])"
Sulfonic acid,"[SX4](=[OX1])(=[OX1])[$([OX2H]),$([OX1-])]"
Sulfonamide,"[SX4](=[OX1])(=[OX1])[#7X3]"
Sulfonic ester,"[SX4](=[OX1])(=[OX1])[OX2H0]"
Sulfonic halide,"[SX4](=[OX1])(=[OX1])[FX1,ClX1,BrX1,IX1]"
Sulfonic derivative,"[SX4](=[!#6])(=[!#6])[!#6]"
Sulfinic acid,"[SX3](=[OX1])[$([OX2H]),$([OX1-])]"
Sulfinic amide,"[SX3](=[OX1])[#7X3]"
Sulfinic ester,"[SX3](=[OX1])[OX2H0]"
Sulfinic halide,"[SX3](=[OX1])[FX1,ClX1,BrX1,IX1]"
Sulfinic derivative,"[SX3](=[!#6])[!#6]"
Sulfenic acid,"[SX2][$([OX2H]),$([OX1-])]"
Sulfenic amide,"[SX2][#7X3]"
Sulfenic ester,"[SX2][OX2H0]"
Sulfenic halide,"[SX2][FX1,ClX1,BrX1,IX1]"
Sulfenic derivative,"[SX2][!#6]"
Sulfanylidene,"[SX1,$(S=*)]"
Sulfilimine,[SX3]=[NX2]
Phosphine,[Pv3]
Phosphine oxide,"[PX4;$([H3]=[OX1]),$([H2](=[OX1])[#6]),$([H1](=[OX1])([#6])[#6]),$([H0](=[OX1])([#6])([#6])[#6])]"
Phosphonium,[Pv4+]
Phosphite ester,[PX3]([OX2])([OX2])[OX2H0]
Phosphorylen,"[PX4;$([H3]=[CX3]),$([H2](=[CX3])[#6]),$([H1](=[CX3])([#6])[#6]),$([H0](=[CX3])([#6])([#6])[#6])]"
Phosphonic acid,"[PX4](=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]"
Phosphonic monoester,"[PX4](=[OX1])([$([OX2H]),$([OX1-])])[OX2H0]"
Phosphonic diester,"[PX4](=[OX1])([OX2H0])[OX2H0]"
Phosphonic monoamide,"[PX4](=[OX1])([$([OX2H]),$([OX1-])])[#7X3]"
Phosphonic diamide,"[PX4](=[OX1])([#7X3])[#7X3]"
Phosphonic esteramide,"[PX4](=[OX1])([OX2H0])[#7X3]"
Phosphonic acid derivative,"[PX4](=[!#6])([!#6])[!#6]"
Phosphoric acid,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]"
Phosphoric monoester,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([$([OX2H]),$([OX1-])])[OX2H0]"
Phosphoric diester,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([OX2H0])[OX2H0]"
Phosphoric triester,"[PX4D4](=[OX1])([OX2H0])([OX2H0])[OX2H0]"
Phosphoric monoamide,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([$([OX2H]),$([OX1-])])[#7X3]"
Phosphoric diamide,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([#7X3])[#7X3]"
Phosphoric triamide,"[PX4D4](=[OX1])([#7X3])([#7X3])[#7X3]"
Phosphoric monoestermonoamide,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([OX2H0])[#7X3]"
Phosphoric diestermonoamide,"[PX4D4](=[OX1])([OX2H0])([OX2H0])[#7X3]"
Phosphoric monoesterdiamide,"[PX4D4](=[OX1])([OX2H0])([#7X3])[#7X3]"
Phosphoric acid derivative,[PX4D4](=[!#6])([!#6])([!#6])[!#6]
Phosphinic acid,"[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[OX1])[$([OX2H]),$([OX1-])]"
Phosphinic ester,"[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[OX1])[OX2H0]"
Phosphinic amide,"[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[OX1])[#7X3]"
Phosphinic acid derivative,"[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[!#6])[!#6]"
Phosphonous acid,"[PX3]([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]"
Phosphonous monoester,"[PX3]([$([OX2H]),$([OX1-])])[OX2;$([*][#6])]"
Phosphonous diester,"[PX3]([OX2H0])[OX2H0]"
Phosphonous monoamide,"[PX3]([$([OX2H]),$([OX1-])])[#7X3]"
Phosphonous diamide,"[PX3]([#7X3])[#7X3]"
Phosphonous esteramide,"[PX3]([OX2H0])[#7X3]"
Phosphonous derivatives,"[PX3;$([D2]),$([D3][#6])]([!#6])[!#6]"
Phosphinous acid,"[PX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][$([OX2H]),$([OX1-])]"
Phosphinous ester,"[PX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][OX2H0]"
Phosphinous amide,"[PX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][#7X3]"
Phosphinous derivatives,"[PX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][!#6]"
Silane,[Si]
Silyl hydride,"[$([SiH1]),$([SiH2]),$([SiH3]),$([SiH4])]"
Silanol,[Si][OX2H]
Siloxide,[Si][O-]
Silyl ether,[Si][OX2H0]
Siloxane,[Si][O][Si]
Silyl halide,"[SiX4]([FX1,ClX1,BrX1,IX1])"
Silene,[Si]=[CX3]
Silicic acid derivative,[SiX4]([!#6])([!#6])([!#6])[!#6]
Borane,[BX3]
Boronic acid derivative,[BX3]([!#6])([!#6])[!#6]
Borohydride,"[BH1,BH2,BH3,BH4]"
Quaternary boron,[BX4]
Borinic acid,[BX3][OX2H1]
Borinic ester,[BX3][OX2H0]
Boronic acid,[BX3]([OX2H1])[OX2H1]
Boronic ester,[BX3]([OX2H0])[OX2H0]
Borate ester,[BX3]([OX2H0])([OX2H0])[OX2H0]
Boronamide,[BX3][NX3]
Epoxide,[OX2r3]1[#6r3][#6r3]1
NH aziridine,[NX3H1r3]1[#6r3][#6r3]1
Sugar pattern 1,"[OX2;$([r5]1@C@C@C(O)@C1),$([r6]1@C@C@C(O)@C(O)@C1)]"
Sugar pattern 2,"[OX2;$([r5]1@C(!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C1),$([r6]1@C(!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C@C1)]"
Sugar pattern combi,"[OX2;$([r5]1@C(!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C(O)@C1),$([r6]1@C(!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C(O)@C(O)@C1)]"
Sugar pattern 2 reducing,"[OX2;$([r5]1@C(!@[OX2H1])@C@C@C1),$([r6]1@C(!@[OX2H1])@C@C@C@C1)]"
Sugar pattern 2 alpha,"[OX2;$([r5]1@[C@@](!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C1),$([r6]1@[C@@](!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C@C1)]"
Sugar pattern 2 beta,"[OX2;$([r5]1@[C@](!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C1),$([r6]1@[C@](!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C@C1)]"
%Mixed anhydrides,"[$(*=O),$([#16,#14,#5]),$([#7]([#6]=[OX1]))][#8X2][$(*=O),$([#16,#14,#5]),$([#7]([#6]=[OX1]))]"
Halogen on hetero,"[FX1,ClX1,BrX1,IX1][!#6]"
Halogen multi subst,"[F,Cl,Br,I;!$([X1]);!$([X0-])]"
Trifluoromethyl,"[FX1][CX4;!$([H0][Cl,Br,I]);!$([F][C]([F])([F])[F])]([FX1])([FX1])"
Dicarbodiazene,[CX3](=[OX1])[NX2]=[NX2][CX3](=[OX1])
Benzene,c1ccccc1
Triazene,"[NX3][NX2]=[NX2]"
Triimide,"[NX2]=[NX2]=[NX2]"
% Selenium compounds
Selenium,[Se]
Selenol,[SeH]
Diselenide,[Se][Se]
Selanyl halide,"[Se][FX1,ClX1,BrX1,IX1]"
Selenide,[SeD2]
Selenoxide,[Sev4]=[OX1]
selenone,[Sev6](=[OX1])(=[OX1])
Selenenic acid,[Se][OX2H]
Seleninic acid,[SeX3](=[OX1])[OX2H]
Selenonic acid,[SeX4](=[OX1])(=[OX1])[OX2H]
Peroxyseleninic acid,[SeX3](=[OX1])[OX2][OX2H1]
Selone,[SeX1]=[CX3]
Thioselenide,[SeX2][SX2]
Selenamide,[SeX2][NX3]
% Common metals
Ferro,[Fe]
Cobalto,[Co]
Nickel,[Ni]
Cupro,[Cu]
Zinco,[Zn]
Ruthenio,[Ru]
Rhodio,[Rh]
Pallado,[Pd]
Argento,[Ag]
Cadmio,[Cd]
Platino,[Pt]
Oro,[Au]
Mercurio,[Hg]
Titano,[Ti]
Vanado,[V]
Cromo,[Cr]
Molibdeno,[Mo]
Tungsteno,[W]
Manganeso,[Mn]
Zirconio,[Zr]
Hafnio,[Hf]
Iridio,[Ir]
Osmi,[Os]
Aluminio,[Al]
Gallio,[Ga]
Indio,[In]
Estagno,[Sn]
Plombo,[Pb]
Niobio,[Nb]
